id,company_name,address,city,state,zip_code,country,phone,email,website,licence_number,doing_business_as,included_establishments,province,postal_code,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
50,FRESHBURG CORP.,116 Lisgar Stree #613,Ottawa,Ontario,K2P0C2,Canada,,,,3BB6GTGX,,,Ontario,K2P0C2,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.578737+00:00,20260325_232013,249798357de72dbaa38aff3df7505d8b,2026-03-25 23:20:20,2026-03-25 23:20:20,1
51,CANADIAN BEAUTY SUPPLY INC.,3-9094 Leslie St,Richmond Hill,Ontario,L4B3L9,Canada,,,,3BBJKMGH,CBS,,Ontario,L4B3L9,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.578737+00:00,20260325_232013,c0271c91d121962c4bd2faae1a1852a4,2026-03-25 23:20:20,2026-03-25 23:20:20,1
52,Acecard Food Group Ltd.,2768 Rupert Street,Vancouver,British Columbia,V5M4H4,Canada,,,,3BBLBPWJ,Legends Haul,,British Columbia,V5M4H4,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.578737+00:00,20260325_232013,8a9eac26b579c7099da81c2e51bfa137,2026-03-25 23:20:20,2026-03-25 23:20:20,1
53,9436-6309 Quebec Inc.,614 boul Guimond,Longueuil,Quebec,J4G1P8,Canada,,,,3BBVCHDC,,"614 Boul Guimond, Longueuil, Quebec, Canada, J4G1P8",Quebec,J4G1P8,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.578737+00:00,20260325_232013,245d626938b33f522dadc07087b858c2,2026-03-25 23:20:20,2026-03-25 23:20:20,1
54,C & C Sandwiches & Pastry Inc.,686 Powell St,Vancouver,British Columbia,V6A1H4,Canada,,,,3BBYJRPM,,"686 Powell St, Vancouver, British Columbia, Canada, V6A1H4",British Columbia,V6A1H4,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.579736+00:00,20260325_232013,c559683b852be1d14ab0a557c3c2cbcd,2026-03-25 23:20:20,2026-03-25 23:20:20,1
55,FIJI Water of Canada Ltd.,100 King Street West,Toronto,Ontario,M5X1B8,Canada,,,,3BBYJWBC,,,Ontario,M5X1B8,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.579736+00:00,20260325_232013,e2a5b31f4cbfb522fa317779e209b33d,2026-03-25 23:20:20,2026-03-25 23:20:20,1
56,"Sysco Canada, Inc.",1570 Clarence Ave,Winnipeg,Manitoba,R3T1T6,Canada,,,,3BC44P9G,,,Manitoba,R3T1T6,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.579736+00:00,20260325_232013,b9378f321c9448df547e5bcbf769e47c,2026-03-25 23:20:20,2026-03-25 23:20:20,1
57,INTL ATLANTIC GLOBAL SERVICES INC.,165 RUE FRONTENAC,Saint-Jerome,Quebec,J7Y0H5,Canada,,,,3BC83XK9,,,Quebec,J7Y0H5,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.579736+00:00,20260325_232013,dac604fb1a00666cd2b30fd9326e14e2,2026-03-25 23:20:20,2026-03-25 23:20:20,1
58,LO-SONS FOODS INTERNATIONAL LTD.,5266 General Rd Unit#16,Mississauga,Ontario,L4W1Z8,Canada,,,,3BCKBPHP,,"5 Walker St, Sydney, Nova Scotia, Canada, B1P7G1 5266 General RdUnit#16, Mississauga, Ontario, Canada, L4W1Z8",Ontario,L4W1Z8,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.579736+00:00,20260325_232013,1e14a0b9cb0d1e18c2f8da394c273241,2026-03-25 23:20:20,2026-03-25 23:20:20,1
59,Richardson International Limited,2800-1 Lombard Pl,Winnipeg,Manitoba,R3B0X8,Canada,,,,3BCMPYR7,,,Manitoba,R3B0X8,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.579736+00:00,20260325_232013,fd9cdfdcd51ee80b368791ace16a20e8,2026-03-25 23:20:20,2026-03-25 23:20:20,1
60,MAXIM IMPEX INC.,2085 rue Fauteux,Laval,Quebec,H7T2R4,Canada,,,,3BCNC7MK,,,Quebec,H7T2R4,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.579736+00:00,20260325_232013,aeb6041397bbb6d8261c1d9b66c68211,2026-03-25 23:20:20,2026-03-25 23:20:20,1
61,16477411 Canada Inc.,76 baha crescent,Brampton,Ontario,L7A2J4,Canada,,,,3BCP8WCX,,,Ontario,L7A2J4,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.579736+00:00,20260325_232013,c1327e127c15b449223111291abb5632,2026-03-25 23:20:20,2026-03-25 23:20:20,1
62,1001308153 ONTARIO INC.,1288 Sunnybrae Cres Unit 1288,Oshawa,Ontario,L1H8E5,Canada,,,,3BCPBGY9,sweetunion stevia,,Ontario,L1H8E5,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.579736+00:00,20260325_232013,f5333f789d88534155b2c456de9c3b62,2026-03-25 23:20:20,2026-03-25 23:20:20,1
63,I Heart Boba Canada Inc.,3305 Trelawny Cir,Mississauga,Ontario,L5N5G9,Canada,,,,3BCRFBD7,,,Ontario,L5N5G9,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.579736+00:00,20260325_232013,fa0f60b20cae3b5ce38b2461ad554240,2026-03-25 23:20:20,2026-03-25 23:20:20,1
64,1834268 Alberta Ltd.,PO Box 5504 Stn Main,High River,Alberta,T1V1M6,Canada,,,,3BCVFFLR,Greidanus Honey Mill,"58065 530 Ave, High River, Alberta, Canada, T1V1M6",Alberta,T1V1M6,cfia_food_licences,https://apps.inspection.canada.ca/webapps/foodlicenceregistry/en/,2026-03-25T23:20:19.579736+00:00,20260325_232013,7bcd94347e6153ffb0f02ea7e42ff3ad,2026-03-25 23:20:20,2026-03-25 23:20:20,1
