id,company_name,legal_name,trade_name,address,city,phone,website,email,cor_number,cor_issue_date,cor_expiry_date,cor_type,cor_standard,certifying_body,province,certification_status,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
38,1078876 ALBERTA LTD.,1078876 ALBERTA LTD.,,,,,,,20250709-SE2952,2025-07-09,2028-08-31,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,fa034042560ae4bf7d24299acf06023e,2026-03-25 11:23:15,2026-03-25 11:23:15,1
39,1079562 ALBERTA LTD.,1079562 ALBERTA LTD.,,,,,,,20241203-SE9748,2024-12-03,2027-12-03,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,fbd99d0c1ad76eba6afffd02e6e773ff,2026-03-25 11:23:15,2026-03-25 11:23:15,1
40,1083961 ALBERTA LTD.,1083961 ALBERTA LTD.,,,,,,,20240426-SE6425,2024-04-26,2027-04-26,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,618fb0ca4ebfc92e85b46be77a6747cf,2026-03-25 11:23:15,2026-03-25 11:23:15,1
41,1093776 ALBERTA INC.,1093776 ALBERTA INC.,,,,,,,20240920-8780,2024-09-20,2027-09-20,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,1964ed62575a52767d7802ea9f9656dd,2026-03-25 11:23:15,2026-03-25 11:23:15,1
42,1099635 ALBERTA LTD.,1099635 ALBERTA LTD.,,,,,,,20250810-SE3172,2025-08-10,2028-08-10,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,8390bed897594490667f8dea7371fedf,2026-03-25 11:23:15,2026-03-25 11:23:15,1
43,10FOLD GROUP INC,10FOLD GROUP INC,,,,,,,20250319-1610,2025-03-19,2028-03-19,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,c8c21efdd6eaf3138943ed039fc3093d,2026-03-25 11:23:15,2026-03-25 11:23:15,1
44,10K RENTALS LTD,10K RENTALS LTD,,,,,,,20241007-SE8666,2024-10-07,2027-10-07,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,648854a7b9c6ec84ba4a0e4be1f3589d,2026-03-25 11:23:15,2026-03-25 11:23:15,1
45,1100134 ALBERTA LTD.,1100134 ALBERTA LTD.,,,,,,,20241017-SE9288,2024-10-17,2027-10-17,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,6788b4a590bc3a50ca51f2a44e948bb7,2026-03-25 11:23:15,2026-03-25 11:23:15,1
46,1101321 ALBERTA LTD,1101321 ALBERTA LTD,,,,,,,20231110-SE4659,2023-11-10,2026-11-10,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,827d464aa6392ecab46e0c0d3de660d2,2026-03-25 11:23:15,2026-03-25 11:23:15,1
47,1111378 ALBERTA LTD.,1111378 ALBERTA LTD.,,,,,,,20240419-SE7237,2024-04-19,2027-04-19,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,e7dd8538077b3dda29332ba0bb73b254,2026-03-25 11:23:15,2026-03-25 11:23:15,1
48,1112163 ALBERTA LTD.,1112163 ALBERTA LTD.,,,,,,,20251030-4781,2025-10-30,2028-12-07,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,263f7d4c1dd07f8c57e92b3fcf0f2e67,2026-03-25 11:23:15,2026-03-25 11:23:15,1
49,1116366 ALBERTA LTD.,1116366 ALBERTA LTD.,,,,,,,20241113-0249,2024-11-13,2027-11-13,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,753425cdaaf69f8d84edc37cbddf9ecd,2026-03-25 11:23:15,2026-03-25 11:23:15,1
50,1117360 ALBERTA LTD.,1117360 ALBERTA LTD.,,,,,,,20250219-0979,2025-02-19,2028-03-06,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,81862e20a128603159e6141f6f18e24b,2026-03-25 11:23:15,2026-03-25 11:23:15,1
51,1117460 ALBERTA LTD.,1117460 ALBERTA LTD.,,,,,,,20240531-8626,2024-05-31,2027-07-12,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.921816+00:00,20260325_112217,7ede5d35d5c8a63bed374ee52f5940b2,2026-03-25 11:23:15,2026-03-25 11:23:15,1
52,1121158 ALBERTA LTD.,1121158 ALBERTA LTD.,,,,,,,20240131-SE5968,2024-01-31,2027-01-31,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.922812+00:00,20260325_112217,c0363b44a2c6240c229e79209c32cfa6,2026-03-25 11:23:15,2026-03-25 11:23:15,1
53,1122459 ALBERTA LTD.,1122459 ALBERTA LTD.,,,,,,,20240327-SE6656,2024-03-27,2027-03-27,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.922812+00:00,20260325_112217,f6b0e11de17c4b02296cd26b125dc608,2026-03-25 11:23:15,2026-03-25 11:23:15,1
54,1129805 ALBERTA LTD.,1129805 ALBERTA LTD.,,,,,,,20251118-5290,2025-11-18,2028-11-18,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.922812+00:00,20260325_112217,1b44d7a5ac74ed908adb7e4bb6b45589,2026-03-25 11:23:15,2026-03-25 11:23:15,1
55,1132682 ALBERTA LTD.,1132682 ALBERTA LTD.,,,,,,,20250910-4045,2025-09-10,2028-09-10,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.922812+00:00,20260325_112217,b0099a3633ae8633e9c414abef83f932,2026-03-25 11:23:15,2026-03-25 11:23:15,1
56,1134544 ALBERTA LTD.,1134544 ALBERTA LTD.,,,,,,,20240206-SE5499,2024-02-06,2027-02-06,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.922812+00:00,20260325_112217,ef9fbeef53183a233e72973174071958,2026-03-25 11:23:15,2026-03-25 11:23:15,1
57,1135215 ALBERTA SOCIETY,1135215 ALBERTA SOCIETY,,,,,,,20250611-1983,2025-06-11,2026-06-11,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.922812+00:00,20260325_112217,a26cbfc924d67efe69118d0dd4f9ece5,2026-03-25 11:23:15,2026-03-25 11:23:15,1
58,1137523 ALBERTA LTD.,1137523 ALBERTA LTD.,,,,,,,20260311-SE5872,2026-03-11,2029-03-11,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.922812+00:00,20260325_112217,9c60edac44c3cc73b4d3f0f26b43f8cc,2026-03-25 11:23:15,2026-03-25 11:23:15,1
59,1138036 ALBERTA LTD.,1138036 ALBERTA LTD.,,,,,,,20251114-5032,2025-11-14,2028-11-14,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.922812+00:00,20260325_112217,4ffe78cdaf7ac733bb1e7dc31354d1f8,2026-03-25 11:23:15,2026-03-25 11:23:15,1
60,1138357 ALBERTA LTD.,1138357 ALBERTA LTD.,,,,,,,20240308-6138,2024-03-08,2027-03-08,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.922812+00:00,20260325_112217,ce096fed2a1c3c2f37c9d1c0f1e9c70e,2026-03-25 11:23:15,2026-03-25 11:23:15,1
61,1143177 ALBERTA LTD.,1143177 ALBERTA LTD.,,,,,,,20240110-SE5965,2024-01-10,2027-01-10,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.922812+00:00,20260325_112217,4fe240bb3255bb5b54f63030aa7508be,2026-03-25 11:23:15,2026-03-25 11:23:15,1
62,1145018 ALBERTA LTD.,1145018 ALBERTA LTD.,,,,,,,20250725-3362,2025-07-25,2028-07-28,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.922812+00:00,20260325_112217,6813bafce871a356d60cc04f84fe919d,2026-03-25 11:23:15,2026-03-25 11:23:15,1
63,1145378 ALBERTA LTD.,1145378 ALBERTA LTD.,,,,,,,20231125-SE4786,2023-11-25,2026-11-25,Small Employer COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.922812+00:00,20260325_112217,ec816a368c4aed91ff8e6ca4c1721c33,2026-03-25 11:23:15,2026-03-25 11:23:15,1
64,1149477 ALBERTA LTD.,1149477 ALBERTA LTD.,,,,,,,20241227-0658,2024-12-27,2027-12-27,Standard COR,COR,ACSA,Alberta,Active,cor_certified_employers_canada,https://www.alberta.ca/find-employers-with-cor,2026-03-25T11:23:12.922812+00:00,20260325_112217,f7ca03eb3591aee86f1d978934c7acf6,2026-03-25 11:23:15,2026-03-25 11:23:15,1
